19/12/2019,13:38:11,1155,1067,201.0
19/12/2019,13:40:17,1202,1073,150.33
19/12/2019,13:42:23,1202,1067,159.57
19/12/2019,13:44:30,1155,1065,159.7
19/12/2019,13:46:36,1156,1065,180.77
19/12/2019,13:48:42,1175,1068,208.5
19/12/2019,13:50:49,1397,1236,166.0
19/12/2019,13:52:55,1204,1222,166.17
19/12/2019,13:55:01,1177,1070,130.93
19/12/2019,13:57:07,1159,1071,124.5
19/12/2019,13:59:13,1252,1071,167.3
19/12/2019,14:01:19,1206,1072,191.87
19/12/2019,14:03:25,1161,1072,204.67
19/12/2019,14:05:32,1335,1088,186.4
19/12/2019,14:07:38,1148,1074,199.73
19/12/2019,14:09:44,1163,1058,184.87
19/12/2019,14:11:50,1336,1078,157.87
19/12/2019,14:13:57,1260,1079,194.3
19/12/2019,14:16:03,1210,1085,188.83
19/12/2019,14:18:09,1123,1026,148.0
19/12/2019,14:20:15,1125,1085,106.27
19/12/2019,14:22:21,1179,1087,76.13
19/12/2019,14:24:28,1190,1088,113.13
19/12/2019,14:26:35,1131,1033,147.6
19/12/2019,14:28:41,1165,1071,162.4
19/12/2019,14:30:47,1194,1091,192.23
19/12/2019,14:32:54,1199,1092,190.5
19/12/2019,14:35:01,1274,1093,158.13
19/12/2019,14:37:07,1203,1094,118.63
19/12/2019,14:39:14,1231,1096,116.63
19/12/2019,14:41:20,1244,1157,90.83
19/12/2019,14:43:26,1299,1214,116.37
19/12/2019,14:45:33,1357,1236,130.8
19/12/2019,14:47:40,1275,1186,160.47
19/12/2019,14:49:46,1506,1424,132.5
19/12/2019,14:51:52,1445,1370,64.67
19/12/2019,14:53:59,1467,1343,68.4
19/12/2019,14:56:05,1508,1383,60.3
19/12/2019,14:58:12,1452,1377,62.83
19/12/2019,15:00:19,1418,1317,60.53
19/12/2019,15:02:25,1269,1181,62.27
19/12/2019,15:04:31,1280,1193,86.03
19/12/2019,15:06:37,1302,1219,71.13
19/12/2019,15:08:44,1380,1271,63.97
19/12/2019,15:10:50,1316,1251,133.27
19/12/2019,15:12:56,1233,1117,174.23
19/12/2019,15:15:02,1265,1132,187.33
19/12/2019,15:17:09,1266,1131,124.6
19/12/2019,15:19:15,1241,1132,143.83
19/12/2019,15:21:21,1243,1133,203.83
19/12/2019,15:23:28,1246,1135,234.0
19/12/2019,15:25:34,1223,1122,137.4
19/12/2019,15:27:40,1231,1133,154.73
19/12/2019,15:29:47,1232,1133,116.77
19/12/2019,15:31:53,1220,1117,103.57
19/12/2019,15:33:59,1261,1166,85.23
19/12/2019,15:36:06,1237,1123,86.57
19/12/2019,15:38:12,1255,1155,74.9
19/12/2019,15:40:19,1290,1155,84.77
19/12/2019,15:42:25,1295,1157,59.67
19/12/2019,15:44:31,1295,1160,38.2
19/12/2019,15:46:38,1270,1276,33.3
19/12/2019,15:48:44,1355,1215,27.9
19/12/2019,15:50:51,1258,1157,26.3
19/12/2019,15:52:58,1289,1196,25.77
19/12/2019,15:55:04,1292,1198,23.63
19/12/2019,15:57:11,1287,1210,23.23
19/12/2019,15:59:17,1336,1241,18.9
19/12/2019,16:01:23,1360,1265,13.87
19/12/2019,16:03:30,1377,1286,10.13
19/12/2019,16:05:36,1379,1307,8.13
19/12/2019,16:07:42,1392,1299,8.6
19/12/2019,16:09:49,1455,1189,6.63
19/12/2019,16:11:55,1379,1193,4.93
19/12/2019,16:14:01,1291,1210,3.47
19/12/2019,16:16:07,1294,1179,2.37
19/12/2019,16:18:13,1388,1241,1.67
19/12/2019,16:20:20,1468,1269,1.23
19/12/2019,16:22:26,1471,1270,0.83
19/12/2019,16:24:32,1323,1201,0.7
19/12/2019,16:26:38,1354,1222,0.0
19/12/2019,16:28:44,1339,1217,0.0
19/12/2019,16:30:50,1359,1229,0.0
19/12/2019,16:32:56,1520,1274,0.0
19/12/2019,16:35:02,1394,1278,0.0
19/12/2019,16:37:08,1415,1280,0.0
19/12/2019,16:39:14,1532,1292,0.0
19/12/2019,16:41:21,1353,1235,0.0
19/12/2019,16:43:27,1414,1237,0.0
19/12/2019,16:45:34,1407,1299,0.0
19/12/2019,16:47:40,1409,1298,0.0
19/12/2019,16:49:46,1393,1281,0.0
19/12/2019,16:51:52,1397,1286,0.0
19/12/2019,16:53:58,1433,1326,0.0
19/12/2019,16:56:04,1400,1288,0.0
19/12/2019,16:58:11,1367,1248,0.0
19/12/2019,17:00:17,1421,1312,0.0
19/12/2019,17:02:23,1464,1287,0.0
19/12/2019,17:04:30,1490,1299,0.0
19/12/2019,17:06:36,1417,1308,0.0
19/12/2019,17:08:42,1415,1305,0.0
19/12/2019,17:10:48,1409,1302,0.0
19/12/2019,17:12:54,1394,1293,0.0
19/12/2019,17:15:00,1421,1342,0.0
19/12/2019,17:17:06,1416,1325,0.0
19/12/2019,17:19:13,1399,1294,0.0
19/12/2019,17:21:19,1366,1252,0.0
19/12/2019,17:23:25,1417,1259,0.0
19/12/2019,17:25:32,1399,1272,0.0
19/12/2019,17:27:38,1379,1271,0.0
19/12/2019,17:29:44,1375,1260,0.0
19/12/2019,17:31:50,1381,1261,0.0
19/12/2019,17:33:56,1398,1260,0.0
19/12/2019,17:36:02,1382,1264,0.0
19/12/2019,17:38:09,1469,1294,0.0
19/12/2019,17:40:15,1376,1256,0.0
19/12/2019,17:42:21,1530,1350,0.0
19/12/2019,17:44:28,1520,1355,0.0
19/12/2019,17:46:34,1599,1339,0.0
19/12/2019,17:48:40,1566,1365,0.0
19/12/2019,17:50:46,1578,1310,0.0
19/12/2019,17:52:52,1430,1307,0.0
19/12/2019,17:54:59,1451,1281,0.0
19/12/2019,17:57:05,1409,1327,0.0
19/12/2019,17:59:11,1378,1239,0.0
19/12/2019,18:01:18,1375,1236,0.0
19/12/2019,18:03:23,1416,1279,0.0
19/12/2019,18:05:30,1428,1321,0.0
19/12/2019,18:07:36,1421,1338,0.0
19/12/2019,18:09:42,1401,1321,0.0
19/12/2019,18:11:49,1478,1354,0.0
19/12/2019,18:13:55,1505,1410,0.0
19/12/2019,18:16:01,1491,1368,0.0
19/12/2019,18:18:07,1397,1303,0.0
19/12/2019,18:20:14,1381,1298,0.0
19/12/2019,18:22:20,1350,1250,0.0
19/12/2019,18:24:26,1293,1191,0.0
19/12/2019,18:26:32,1288,1188,0.0
19/12/2019,18:28:39,1291,1194,0.0
19/12/2019,18:30:45,1301,1204,0.0
19/12/2019,18:32:52,1305,1187,0.0
19/12/2019,18:34:58,1309,1169,0.0
19/12/2019,18:37:04,1300,1167,0.0
19/12/2019,18:39:10,1297,1201,0.0
19/12/2019,18:41:17,1237,1136,0.0
19/12/2019,18:43:23,1246,1148,0.0
19/12/2019,18:45:29,1284,1146,0.0
19/12/2019,18:47:35,1279,1141,0.0
19/12/2019,18:49:42,1269,1130,0.0
19/12/2019,18:51:48,1308,1131,0.0
19/12/2019,18:53:55,1368,1172,0.0
19/12/2019,18:56:01,1330,1169,0.0
19/12/2019,18:58:08,1292,1121,0.0
19/12/2019,19:00:14,1315,1156,0.0
19/12/2019,19:02:21,1358,1158,0.0
19/12/2019,19:04:27,1228,1139,0.0
19/12/2019,19:06:33,1311,1160,0.0
19/12/2019,19:08:39,1266,1138,0.0
19/12/2019,19:10:45,1368,1171,0.0
19/12/2019,19:12:51,1305,1166,0.0
19/12/2019,19:14:57,1353,1078,0.0
19/12/2019,19:17:04,1211,1092,0.0
19/12/2019,19:19:10,1235,1068,0.0
19/12/2019,19:21:16,1189,1062,0.0
19/12/2019,19:23:23,1264,1057,0.0
19/12/2019,19:25:29,1258,1052,0.0
19/12/2019,19:27:35,1252,1074,0.0
19/12/2019,19:29:41,1196,1042,0.0
19/12/2019,19:31:47,1242,1063,0.0
19/12/2019,19:33:53,1326,1086,0.0
19/12/2019,19:36:00,1225,1164,0.0
19/12/2019,19:38:06,1353,1107,0.0
19/12/2019,19:40:13,1367,1163,0.0
19/12/2019,19:42:19,1410,1141,0.0
19/12/2019,19:44:26,1369,1065,0.0
19/12/2019,19:46:32,1270,1090,0.0
19/12/2019,19:48:38,1128,997,0.0
19/12/2019,19:50:45,1123,992,0.0
19/12/2019,19:52:51,1117,987,0.0
19/12/2019,19:54:57,1193,983,0.0
19/12/2019,19:57:03,1117,979,0.0
19/12/2019,19:59:09,1183,975,0.0
19/12/2019,20:01:15,1091,970,0.0
19/12/2019,20:03:22,1164,966,0.0
19/12/2019,20:05:28,1164,963,0.0
19/12/2019,20:07:34,1159,958,0.0
19/12/2019,20:09:40,1147,954,0.0
19/12/2019,20:11:46,1045,944,0.0
19/12/2019,20:13:53,1034,934,0.0
19/12/2019,20:15:59,988,886,0.0
19/12/2019,20:18:05,978,942,0.0
19/12/2019,20:20:11,1124,935,0.0
19/12/2019,20:22:17,1045,954,0.0
19/12/2019,20:24:24,1039,948,0.0
19/12/2019,20:26:30,1046,956,0.0
19/12/2019,20:28:36,1040,920,0.0
19/12/2019,20:30:42,935,844,0.0
19/12/2019,20:32:48,980,895,0.0
19/12/2019,20:34:55,943,858,0.0
19/12/2019,20:37:01,974,836,0.0
19/12/2019,20:39:07,974,835,0.0
19/12/2019,20:41:14,964,829,0.0
19/12/2019,20:43:20,960,827,0.0
19/12/2019,20:45:26,951,821,0.0
19/12/2019,20:47:32,937,810,0.0
19/12/2019,20:49:39,941,814,0.0
19/12/2019,20:51:46,924,801,0.0
19/12/2019,20:53:52,926,814,0.0
19/12/2019,20:55:58,927,817,0.0
19/12/2019,20:58:04,921,860,0.0
19/12/2019,21:00:10,903,793,0.0
19/12/2019,21:02:16,895,788,0.0
19/12/2019,21:04:22,889,782,0.0
19/12/2019,21:06:29,883,777,0.0
19/12/2019,21:08:35,883,780,0.0
19/12/2019,21:10:42,877,774,0.0
19/12/2019,21:12:49,1029,846,0.0
19/12/2019,21:14:55,862,761,0.0
19/12/2019,21:17:02,798,732,0.0
19/12/2019,21:19:08,795,729,0.0
19/12/2019,21:21:14,851,718,0.0
19/12/2019,21:23:21,847,784,0.0
